neighborhood,responseDow,gender,genderCount
Armatage,0,Female,1
Armatage,0,Male,9
Armatage,0,Other,9
Armatage,1,Female,2
Armatage,1,Male,6
Armatage,1,Other,12
Armatage,2,Female,6
Armatage,2,Male,5
Armatage,2,Other,8
Armatage,3,Female,4
Armatage,3,Male,5
Armatage,3,Other,13
Armatage,4,Female,2
Armatage,4,Male,6
Armatage,4,Other,14
Armatage,5,Female,3
Armatage,5,Male,11
Armatage,5,Other,10
Armatage,6,Female,3
Armatage,6,Male,12
Armatage,6,Other,13
Audubon Park,0,Female,35
Audubon Park,0,Male,84
Audubon Park,0,Other,18
Audubon Park,1,Female,40
Audubon Park,1,Male,97
Audubon Park,1,Other,18
Audubon Park,2,Female,44
Audubon Park,2,Male,119
Audubon Park,2,Other,24
Audubon Park,3,Female,45
Audubon Park,3,Male,131
Audubon Park,3,Other,14
Audubon Park,4,Female,61
Audubon Park,4,Male,114
Audubon Park,4,Other,23
Audubon Park,5,Female,59
Audubon Park,5,Male,135
Audubon Park,5,Other,22
Audubon Park,6,Female,37
Audubon Park,6,Male,85
Audubon Park,6,Other,12
Bancroft,0,Female,1
Bancroft,0,Male,14
Bancroft,0,Other,11
Bancroft,1,Female,3
Bancroft,1,Male,15
Bancroft,1,Other,7
Bancroft,2,Female,3
Bancroft,2,Male,20
Bancroft,2,Other,8
Bancroft,3,Female,5
Bancroft,3,Male,30
Bancroft,3,Other,9
Bancroft,4,Female,3
Bancroft,4,Male,14
Bancroft,4,Other,11
Bancroft,5,Female,6
Bancroft,5,Male,18
Bancroft,5,Other,10
Bancroft,6,Female,3
Bancroft,6,Male,13
Bancroft,6,Other,15
Beltrami,0,Female,11
Beltrami,0,Male,28
Beltrami,0,Other,6
Beltrami,1,Female,16
Beltrami,1,Male,31
Beltrami,1,Other,8
Beltrami,2,Female,22
Beltrami,2,Male,35
Beltrami,2,Other,12
Beltrami,3,Female,17
Beltrami,3,Male,39
Beltrami,3,Other,4
Beltrami,4,Female,23
Beltrami,4,Male,39
Beltrami,4,Other,5
Beltrami,5,Female,23
Beltrami,5,Male,45
Beltrami,5,Other,6
Beltrami,6,Female,22
Beltrami,6,Male,39
Beltrami,6,Other,10
Bottineau,0,Female,23
Bottineau,0,Male,51
Bottineau,0,Other,11
Bottineau,1,Female,25
Bottineau,1,Male,66
Bottineau,1,Other,9
Bottineau,2,Female,28
Bottineau,2,Male,68
Bottineau,2,Other,4
Bottineau,3,Female,23
Bottineau,3,Male,75
Bottineau,3,Other,5
Bottineau,4,Female,18
Bottineau,4,Male,45
Bottineau,4,Other,9
Bottineau,5,Female,29
Bottineau,5,Male,59
Bottineau,5,Other,7
Bottineau,6,Female,31
Bottineau,6,Male,50
Bottineau,6,Other,5
Bryant,0,Female,1
Bryant,0,Male,12
Bryant,0,Other,4
Bryant,1,Male,9
Bryant,1,Other,8
Bryant,2,Female,2
Bryant,2,Male,7
Bryant,2,Other,5
Bryant,3,Female,5
Bryant,3,Male,12
Bryant,3,Other,7
Bryant,4,Female,2
Bryant,4,Male,22
Bryant,4,Other,7
Bryant,5,Female,4
Bryant,5,Male,14
Bryant,5,Other,12
Bryant,6,Female,4
Bryant,6,Male,13
Bryant,6,Other,11
Bryn - Mawr,0,Female,4
Bryn - Mawr,0,Male,14
Bryn - Mawr,0,Other,15
Bryn - Mawr,1,Female,3
Bryn - Mawr,1,Male,10
Bryn - Mawr,1,Other,6
Bryn - Mawr,2,Female,9
Bryn - Mawr,2,Male,17
Bryn - Mawr,2,Other,11
Bryn - Mawr,3,Female,4
Bryn - Mawr,3,Male,13
Bryn - Mawr,3,Other,9
Bryn - Mawr,4,Female,7
Bryn - Mawr,4,Male,19
Bryn - Mawr,4,Other,10
Bryn - Mawr,5,Female,11
Bryn - Mawr,5,Male,25
Bryn - Mawr,5,Other,14
Bryn - Mawr,6,Female,6
Bryn - Mawr,6,Male,18
Bryn - Mawr,6,Other,10
CARAG,0,Female,17
CARAG,0,Male,60
CARAG,0,Other,17
CARAG,1,Female,35
CARAG,1,Male,84
CARAG,1,Other,15
CARAG,2,Female,34
CARAG,2,Male,80
CARAG,2,Other,17
CARAG,3,Female,32
CARAG,3,Male,77
CARAG,3,Other,27
CARAG,4,Female,43
CARAG,4,Male,96
CARAG,4,Other,20
CARAG,5,Female,31
CARAG,5,Male,90
CARAG,5,Other,26
CARAG,6,Female,32
CARAG,6,Male,92
CARAG,6,Other,23
Camden Industrial,0,Male,4
Camden Industrial,1,Female,2
Camden Industrial,1,Male,5
Camden Industrial,1,Other,1
Camden Industrial,2,Female,3
Camden Industrial,2,Male,13
Camden Industrial,3,Female,3
Camden Industrial,3,Male,1
Camden Industrial,3,Other,3
Camden Industrial,4,Female,2
Camden Industrial,4,Male,6
Camden Industrial,4,Other,2
Camden Industrial,5,Female,4
Camden Industrial,5,Male,8
Camden Industrial,5,Other,1
Camden Industrial,6,Female,2
Camden Industrial,6,Male,6
Camden Industrial,6,Other,3
Cedar - Isles - Dean,0,Female,8
Cedar - Isles - Dean,0,Male,12
Cedar - Isles - Dean,0,Other,6
Cedar - Isles - Dean,1,Female,6
Cedar - Isles - Dean,1,Male,20
Cedar - Isles - Dean,1,Other,2
Cedar - Isles - Dean,2,Female,11
Cedar - Isles - Dean,2,Male,30
Cedar - Isles - Dean,2,Other,1
Cedar - Isles - Dean,3,Female,11
Cedar - Isles - Dean,3,Male,20
Cedar - Isles - Dean,3,Other,6
Cedar - Isles - Dean,4,Female,11
Cedar - Isles - Dean,4,Male,24
Cedar - Isles - Dean,4,Other,6
Cedar - Isles - Dean,5,Female,15
Cedar - Isles - Dean,5,Male,17
Cedar - Isles - Dean,5,Other,3
Cedar - Isles - Dean,6,Female,11
Cedar - Isles - Dean,6,Male,19
Cedar - Isles - Dean,6,Other,8
Cedar Riverside,0,Female,21
Cedar Riverside,0,Male,103
Cedar Riverside,0,Other,20
Cedar Riverside,1,Female,24
Cedar Riverside,1,Male,112
Cedar Riverside,1,Other,27
Cedar Riverside,2,Female,28
Cedar Riverside,2,Male,119
Cedar Riverside,2,Other,39
Cedar Riverside,3,Female,22
Cedar Riverside,3,Male,96
Cedar Riverside,3,Other,35
Cedar Riverside,4,Female,22
Cedar Riverside,4,Male,119
Cedar Riverside,4,Other,33
Cedar Riverside,5,Female,33
Cedar Riverside,5,Male,116
Cedar Riverside,5,Other,29
Cedar Riverside,6,Female,23
Cedar Riverside,6,Male,98
Cedar Riverside,6,Other,28
Central,0,Female,17
Central,0,Male,100
Central,0,Other,44
Central,1,Female,31
Central,1,Male,93
Central,1,Other,34
Central,2,Female,39
Central,2,Male,114
Central,2,Other,36
Central,3,Female,41
Central,3,Male,122
Central,3,Other,36
Central,4,Female,33
Central,4,Male,105
Central,4,Other,36
Central,5,Female,41
Central,5,Male,128
Central,5,Other,51
Central,6,Female,38
Central,6,Male,89
Central,6,Other,53
Cleveland,0,Female,5
Cleveland,0,Male,25
Cleveland,0,Other,20
Cleveland,1,Female,7
Cleveland,1,Male,45
Cleveland,1,Other,19
Cleveland,2,Female,19
Cleveland,2,Male,60
Cleveland,2,Other,22
Cleveland,3,Female,21
Cleveland,3,Male,77
Cleveland,3,Other,22
Cleveland,4,Female,20
Cleveland,4,Male,52
Cleveland,4,Other,16
Cleveland,5,Female,12
Cleveland,5,Male,49
Cleveland,5,Other,30
Cleveland,6,Female,10
Cleveland,6,Male,34
Cleveland,6,Other,34
Columbia Park,0,Female,10
Columbia Park,0,Male,26
Columbia Park,0,Other,7
Columbia Park,1,Female,10
Columbia Park,1,Male,25
Columbia Park,1,Other,6
Columbia Park,2,Female,9
Columbia Park,2,Male,30
Columbia Park,2,Other,6
Columbia Park,3,Female,9
Columbia Park,3,Male,29
Columbia Park,3,Other,9
Columbia Park,4,Female,9
Columbia Park,4,Male,32
Columbia Park,4,Other,10
Columbia Park,5,Female,9
Columbia Park,5,Male,32
Columbia Park,5,Other,9
Columbia Park,6,Female,7
Columbia Park,6,Male,15
Columbia Park,6,Other,7
Como,0,Female,28
Como,0,Male,68
Como,0,Other,11
Como,1,Female,15
Como,1,Male,52
Como,1,Other,10
Como,2,Female,25
Como,2,Male,69
Como,2,Other,22
Como,3,Female,25
Como,3,Male,85
Como,3,Other,22
Como,4,Female,34
Como,4,Male,79
Como,4,Other,21
Como,5,Female,27
Como,5,Male,85
Como,5,Other,20
Como,6,Female,33
Como,6,Male,78
Como,6,Other,17
Cooper,0,Female,7
Cooper,0,Male,10
Cooper,0,Other,7
Cooper,1,Female,7
Cooper,1,Male,28
Cooper,1,Other,5
Cooper,2,Female,7
Cooper,2,Male,15
Cooper,2,Other,7
Cooper,3,Female,8
Cooper,3,Male,21
Cooper,3,Other,7
Cooper,4,Female,4
Cooper,4,Male,12
Cooper,4,Other,7
Cooper,5,Female,9
Cooper,5,Male,23
Cooper,5,Other,9
Cooper,6,Female,15
Cooper,6,Male,25
Cooper,6,Other,5
Corcoran,0,Female,10
Corcoran,0,Male,38
Corcoran,0,Other,17
Corcoran,1,Female,14
Corcoran,1,Male,48
Corcoran,1,Other,20
Corcoran,2,Female,11
Corcoran,2,Male,58
Corcoran,2,Other,32
Corcoran,3,Female,24
Corcoran,3,Male,64
Corcoran,3,Other,26
Corcoran,4,Female,15
Corcoran,4,Male,39
Corcoran,4,Other,24
Corcoran,5,Female,16
Corcoran,5,Male,63
Corcoran,5,Other,25
Corcoran,6,Female,13
Corcoran,6,Male,45
Corcoran,6,Other,25
Diamond Lake,0,Female,2
Diamond Lake,0,Male,9
Diamond Lake,0,Other,13
Diamond Lake,1,Female,4
Diamond Lake,1,Male,14
Diamond Lake,1,Other,12
Diamond Lake,2,Female,3
Diamond Lake,2,Male,18
Diamond Lake,2,Other,13
Diamond Lake,3,Female,2
Diamond Lake,3,Male,16
Diamond Lake,3,Other,10
Diamond Lake,4,Female,2
Diamond Lake,4,Male,23
Diamond Lake,4,Other,19
Diamond Lake,5,Female,10
Diamond Lake,5,Male,22
Diamond Lake,5,Other,11
Diamond Lake,6,Female,1
Diamond Lake,6,Male,20
Diamond Lake,6,Other,10
Downtown East,0,Female,13
Downtown East,0,Male,43
Downtown East,0,Other,13
Downtown East,1,Female,23
Downtown East,1,Male,48
Downtown East,1,Other,5
Downtown East,2,Female,27
Downtown East,2,Male,42
Downtown East,2,Other,10
Downtown East,3,Female,15
Downtown East,3,Male,26
Downtown East,3,Other,17
Downtown East,4,Female,17
Downtown East,4,Male,55
Downtown East,4,Other,19
Downtown East,5,Female,18
Downtown East,5,Male,40
Downtown East,5,Other,16
Downtown East,6,Female,15
Downtown East,6,Male,56
Downtown East,6,Other,7
Downtown West,0,Female,155
Downtown West,0,Male,632
Downtown West,0,Other,61
Downtown West,1,Female,206
Downtown West,1,Male,660
Downtown West,1,Other,63
Downtown West,2,Female,166
Downtown West,2,Male,680
Downtown West,2,Other,74
Downtown West,3,Female,162
Downtown West,3,Male,667
Downtown West,3,Other,65
Downtown West,4,Female,164
Downtown West,4,Male,706
Downtown West,4,Other,64
Downtown West,5,Female,228
Downtown West,5,Male,828
Downtown West,5,Other,67
Downtown West,6,Female,212
Downtown West,6,Male,770
Downtown West,6,Other,71
ECCO,0,Female,10
ECCO,0,Male,30
ECCO,0,Other,11
ECCO,1,Female,15
ECCO,1,Male,34
ECCO,1,Other,9
ECCO,2,Female,23
ECCO,2,Male,51
ECCO,2,Other,15
ECCO,3,Female,15
ECCO,3,Male,55
ECCO,3,Other,13
ECCO,4,Female,21
ECCO,4,Male,41
ECCO,4,Other,12
ECCO,5,Female,18
ECCO,5,Male,44
ECCO,5,Other,12
ECCO,6,Female,12
ECCO,6,Male,49
ECCO,6,Other,20
East Harriet,0,Female,9
East Harriet,0,Male,26
East Harriet,0,Other,6
East Harriet,1,Female,9
East Harriet,1,Male,33
East Harriet,1,Other,13
East Harriet,2,Female,11
East Harriet,2,Male,25
East Harriet,2,Other,5
East Harriet,3,Female,16
East Harriet,3,Male,20
East Harriet,3,Other,9
East Harriet,4,Female,20
East Harriet,4,Male,24
East Harriet,4,Other,6
East Harriet,5,Female,13
East Harriet,5,Male,18
East Harriet,5,Other,12
East Harriet,6,Female,10
